Hours_Studied,Attendance,Family_Income,Parental_Education_Level,Exam_Score,Family_Income_Score,Distance_Score,Activity_Hours,Weekly_Commute_Hours,Study_Variance,External_Load,Is_Critical,Risk_Score
23,84,Low,High School,67,1,0.5,0,5,3,5,False,21.0
19,64,Medium,College,61,2,1.0,0,10,-1,10,False,23.0
24,98,Medium,Postgraduate,74,2,0.5,12,5,4,17,False,9.5
29,89,Medium,High School,71,2,1.0,12,10,9,22,False,16.5
19,92,Medium,College,70,2,0.5,12,5,-1,17,False,12.5
19,88,Medium,Postgraduate,71,2,0.5,12,5,-1,17,False,14.5
29,84,Low,High School,67,1,1.0,12,10,9,22,False,38.0
25,78,High,High School,66,3,2.0,12,15,5,27,True,16.333333333333332
17,94,Medium,College,69,2,0.5,0,5,-3,5,False,5.5
23,98,High,High School,72,3,1.0,12,10,3,22,False,8.0
17,80,Medium,College,68,2,1.0,0,10,-3,10,False,15.0
17,97,Low,High School,71,1,0.5,12,5,-3,17,False,20.0
21,83,Medium,High School,70,2,0.5,12,5,1,17,False,17.0
9,82,Medium,Postgraduate,66,2,0.5,12,5,-11,17,False,17.5
10,78,Low,Postgraduate,65,1,0.5,12,5,-10,17,False,39.0
17,68,Medium,High School,64,2,0.5,0,5,-3,5,False,18.5
14,60,High,College,60,3,0.5,12,5,-6,17,False,19.0
22,70,Low,High School,65,1,0.5,12,5,2,17,False,47.0
15,80,Low,College,67,1,1.0,12,10,-5,22,False,42.0
12,75,Medium,College,66,2,0.5,12,5,-8,17,False,21.0
29,78,High,High School,69,3,1.0,0,10,9,10,False,10.666666666666666
19,99,Medium,High School,72,2,0.5,0,5,-1,5,False,3.0
20,74,Medium,College,66,2,1.0,0,10,0,10,False,18.0
11,78,Low,High School,66,1,1.0,12,10,-9,22,False,44.0
17,65,Low,High School,63,1,0.5,12,5,-3,17,False,52.0
21,62,High,Postgraduate,64,3,2.0,12,15,1,27,True,21.666666666666668
13,91,High,High School,65,3,1.0,0,10,-7,10,False,6.333333333333333
22,83,High,College,71,3,1.0,12,10,2,22,False,13.0
16,90,Low,High School,66,1,1.0,0,10,-4,10,False,20.0
18,66,Low,College,64,1,0.5,0,5,-2,5,False,39.0
16,83,High,High School,63,3,0.5,0,5,-4,5,False,7.333333333333333
31,70,High,College,69,3,0.5,12,5,11,17,False,15.666666666666666
20,69,Medium,High School,67,2,0.5,12,5,0,17,False,24.0
25,65,Medium,College,68,2,1.0,0,10,5,10,False,22.5
13,72,Low,High School,61,1,0.5,0,5,-7,5,False,33.0
21,65,Medium,High School,64,2,2.0,12,15,1,27,True,31.0
8,99,Low,Postgraduate,67,1,0.5,0,5,-12,5,False,6.0
12,72,Low,High School,63,1,0.5,12,5,-8,17,False,45.0
21,65,Medium,High School,64,2,0.5,12,5,1,17,False,26.0
24,68,High,College,67,3,0.5,0,5,4,5,False,12.333333333333334
21,84,Medium,College,65,2,2.0,12,15,1,27,True,21.5
19,63,Medium,High School,64,2,1.0,0,10,-1,10,False,23.5
18,94,Medium,College,70,2,0.5,12,5,-2,17,False,11.5
11,98,Medium,Postgraduate,68,2,2.0,12,15,-9,27,True,14.5
16,70,Medium,High School,65,2,1.0,12,10,-4,22,False,26.0
17,78,Medium,College,68,2,0.5,12,5,-3,17,False,19.5
26,61,Low,High School,64,1,1.0,12,10,6,22,False,61.0
22,86,Low,High School,68,1,1.0,12,10,2,22,False,36.0
9,77,Medium,High School,63,2,0.5,0,5,-11,5,False,14.0
22,71,Medium,College,64,2,1.0,12,10,2,22,False,25.5
18,68,Medium,College,64,2,0.5,0,5,-2,5,False,18.5
16,86,Medium,High School,67,2,0.5,12,5,-4,17,False,15.5
24,77,Medium,High School,67,2,0.5,0,5,4,5,False,14.0
26,67,High,Postgraduate,66,3,2.0,12,15,6,27,True,20.0
26,88,Low,College,72,1,1.0,12,10,6,22,False,34.0
15,83,Medium,High School,65,2,0.5,0,5,-5,5,False,11.0
